原始要素ID,DIKUAI_ID,核心地块编号,几何类型,坐标系,面积（平方米）,最小经度,最大经度,最小纬度,最大纬度,完整GeoJSON坐标
0,DIKUAI_2023_0001,0001,Polygon,EPSG:4326 (WGS84经纬度),5905.83,118.779036,118.779737,32.080249,32.080876,"[[[118.779712, 32.080458], [118.779737, 32.08025], [118.779036, 32.080249], [118.77904, 32.0808], [118.779042, 32.080811], [118.779046, 32.080822], [118.779051, 32.080832], [118.779059, 32.080841], [118.779069, 32.080849], [118.77908, 32.080855], [118.779092, 32.080859], [118.779105, 32.080862], [118.779118, 32.080863], [118.779265, 32.080867], [118.77942, 32.080868], [118.779607, 32.080876], [118.779631, 32.080866], [118.779643, 32.080849], [118.779664, 32.080752], [118.779684, 32.080637], [118.779712, 32.080458]]]"
1,DIKUAI_2023_0002,0002,Polygon,EPSG:4326 (WGS84经纬度),1658.7,118.770643,118.770882,32.082615,32.083126,"[[[118.770878, 32.082743], [118.770882, 32.082626], [118.770664, 32.082615], [118.770643, 32.082929], [118.770645, 32.083126], [118.770867, 32.083125], [118.770868, 32.083081], [118.770878, 32.082743]]]"
2,DIKUAI_2023_0003,0003,Polygon,EPSG:4326 (WGS84经纬度),8620.52,118.743792,118.744645,32.083155,32.083976,"[[[118.743865, 32.083976], [118.744645, 32.083971], [118.744597, 32.083775], [118.744572, 32.08366], [118.744549, 32.083547], [118.744518, 32.083426], [118.74445, 32.083156], [118.743792, 32.083155], [118.743865, 32.083976]]]"
3,DIKUAI_2023_0004,0004,Polygon,EPSG:4326 (WGS84经纬度),79.08,118.745216,118.745323,32.08721,32.087679,"[[[118.745216, 32.087679], [118.745323, 32.08721], [118.74527, 32.087344], [118.745216, 32.087679]]]"
4,DIKUAI_2023_0005,0005,Polygon,EPSG:4326 (WGS84经纬度),10724.09,118.746959,118.748434,32.087947,32.088877,"[[[118.748277, 32.088877], [118.748434, 32.088351], [118.74837, 32.08832], [118.748304, 32.088294], [118.748235, 32.088272], [118.748165, 32.088255], [118.748038, 32.088206], [118.747899, 32.088112], [118.747872, 32.088089], [118.74779, 32.08801], [118.747724, 32.087951], [118.74772, 32.087949], [118.747714, 32.087948], [118.747709, 32.087947], [118.747704, 32.087948], [118.747699, 32.087949], [118.747596, 32.088026], [118.747091, 32.088302], [118.746959, 32.088499], [118.748277, 32.088877]]]"
5,DIKUAI_2023_0006,0006,Polygon,EPSG:4326 (WGS84经纬度),12214.18,118.748806,118.750059,32.08546,32.086571,"[[[118.749148, 32.086552], [118.749175, 32.086537], [118.749234, 32.086493], [118.749294, 32.086451], [118.750019, 32.085806], [118.750028, 32.085802], [118.750036, 32.085798], [118.750044, 32.085792], [118.75005, 32.085785], [118.750054, 32.085778], [118.750057, 32.08577], [118.750059, 32.085762], [118.750059, 32.085754], [118.750058, 32.085746], [118.750054, 32.085738], [118.75005, 32.08573], [118.750044, 32.085724], [118.750037, 32.085718], [118.750029, 32.085713], [118.75002, 32.08571], [118.750011, 32.085708], [118.749654, 32.085625], [118.749245, 32.085541], [118.748927, 32.085468], [118.748914, 32.085463], [118.7489, 32.085461], [118.748886, 32.08546], [118.748873, 32.085461], [118.748859, 32.085464], [118.748847, 32.085469], [118.748835, 32.085476], [118.748825, 32.085485], [118.748817, 32.085494], [118.748811, 32.085505], [118.748808, 32.085517], [118.748806, 32.085529], [118.748807, 32.08554], [118.748867, 32.08644], [118.748876, 32.086466], [118.748891, 32.086491], [118.74891, 32.086514], [118.748933, 32.086533], [118.74896, 32.086549], [118.74899, 32.086561], [118.749021, 32.086568], [118.749054, 32.086571], [118.749086, 32.086569], [118.749118, 32.086563], [118.749148, 32.086552]]]"
6,DIKUAI_2023_0007,0007,Polygon,EPSG:4326 (WGS84经纬度),4173.35,118.745917,118.746699,32.08753,32.08808,"[[[118.746565, 32.088017], [118.746699, 32.087985], [118.74657, 32.087708], [118.746009, 32.08753], [118.746005, 32.087541], [118.745947, 32.087733], [118.745921, 32.08782], [118.745918, 32.087834], [118.745917, 32.087842], [118.745917, 32.08785], [118.745918, 32.087858], [118.745921, 32.087866], [118.745924, 32.087871], [118.745928, 32.087876], [118.745932, 32.08788], [118.745936, 32.087881], [118.745942, 32.087912], [118.745955, 32.087941], [118.745973, 32.087969], [118.745995, 32.087989], [118.74602, 32.088006], [118.746048, 32.088019], [118.746078, 32.088028], [118.746082, 32.088039], [118.746088, 32.088049], [118.746096, 32.088057], [118.746106, 32.088065], [118.746117, 32.088071], [118.746128, 32.088076], [118.746141, 32.088079], [118.746154, 32.08808], [118.746292, 32.088065], [118.746429, 32.088044], [118.746565, 32.088017]]]"
7,DIKUAI_2023_0008,0008,Polygon,EPSG:4326 (WGS84经纬度),3449.02,118.77037,118.770937,32.082019,32.082495,"[[[118.77037, 32.082495], [118.770889, 32.082486], [118.770916, 32.082275], [118.770937, 32.082056], [118.770421, 32.082019], [118.77037, 32.082495]]]"
8,DIKUAI_2023_0010,0010,Polygon,EPSG:4326 (WGS84经纬度),45818.1,118.770924,118.772775,32.082996,32.085287,"[[[118.7717, 32.085287], [118.77178, 32.085285], [118.772029, 32.085281], [118.772163, 32.085282], [118.772242, 32.085282], [118.772523, 32.085277], [118.772509, 32.085019], [118.772227, 32.085027], [118.772212, 32.084223], [118.772196, 32.083949], [118.772775, 32.083945], [118.772774, 32.083913], [118.772764, 32.083672], [118.772746, 32.08327], [118.772737, 32.08314], [118.772737, 32.083135], [118.772735, 32.083131], [118.772733, 32.083126], [118.77273, 32.083122], [118.772726, 32.083119], [118.772721, 32.083116], [118.772716, 32.083114], [118.772711, 32.083112], [118.772078, 32.083087], [118.772007, 32.08308], [118.77198, 32.083073], [118.771983, 32.083053], [118.771982, 32.083045], [118.771978, 32.08304], [118.771944, 32.083026], [118.77192, 32.083019], [118.771905, 32.083017], [118.77187, 32.083011], [118.771841, 32.08301], [118.771404, 32.083003], [118.771, 32.082997], [118.770974, 32.082996], [118.770968, 32.082997], [118.770961, 32.082999], [118.770955, 32.083002], [118.770949, 32.083006], [118.770945, 32.08301], [118.770941, 32.083015], [118.770938, 32.08302], [118.770936, 32.083026], [118.770935, 32.083032], [118.770931, 32.083293], [118.77093, 32.083349], [118.770924, 32.083686], [118.770926, 32.084298], [118.770928, 32.084619], [118.770936, 32.084877], [118.771682, 32.084863], [118.7717, 32.085287]]]"
9,DIKUAI_2023_0011,0011,Polygon,EPSG:4326 (WGS84经纬度),14889.25,118.746009,118.747654,32.086743,32.087764,"[[[118.746838, 32.087764], [118.747249, 32.087566], [118.747239, 32.087431], [118.747493, 32.0875], [118.747651, 32.087205], [118.747653, 32.087199], [118.747654, 32.087193], [118.747653, 32.087187], [118.747651, 32.087181], [118.747648, 32.087175], [118.747646, 32.087173], [118.747644, 32.087171], [118.747642, 32.087169], [118.747639, 32.087168], [118.746995, 32.086967], [118.746279, 32.086743], [118.746273, 32.086744], [118.746268, 32.08675], [118.746241, 32.086793], [118.746222, 32.086857], [118.74621, 32.086893], [118.746185, 32.08697], [118.74612, 32.087161], [118.746072, 32.087321], [118.746009, 32.08753], [118.74657, 32.087708], [118.746838, 32.087764]]]"
