CODE_ID,用地性质,临路类型,地块面积,容积率,总建筑面积,建筑密度,建筑最大高度,建筑平均高度,DIKUAI_ID
DIKUAI_748,金融保险用地,临路型,4227.04,8.0373,33974.1992,0.2436,99,99,DIKUAI_2024_0001
DIKUAI_2502,商业用地,临路型,1187.13,2.3908,2838.2228,0.397,21,15.6,DIKUAI_2024_0002
DIKUAI_2484,商业用地,临路型,6169.5,1.903,11740.6301,0.4876,21,11.5714,DIKUAI_2024_0003
DIKUAI_2364,文化设施用地,非临路型,56.5869,1.3527,76.5429,0.3174,18,16,DIKUAI_2024_0004
DIKUAI_2545,商务用地,临路型,7674.19,1.5664,12020.9202,0.3583,21,15,DIKUAI_2024_0005
DIKUAI_3355,居住用地,临路型,8740.97,1.0137,8860.9162,0.5069,6,6,DIKUAI_2024_0006
DIKUAI_2825,商办混合用地,临路型,2986.49,8.9741,26801.164,0.5502,96,30.75,DIKUAI_2024_0007
DIKUAI_2498,商业用地,临路型,2468.5,1.5886,3921.5583,0.2264,54,16.2,DIKUAI_2024_0008
DIKUAI_2382,教育科研用地,临路型,32791.3,1.3625,44679.4454,0.3489,42,11.7692,DIKUAI_2024_0010
DIKUAI_3079,居住用地,临路型,10655,1.948,20755.5113,0.4128,21,10.8889,DIKUAI_2024_0011
DIKUAI_3350,公用设施用地,临路型,1884.29,1.1122,2095.761,0.2951,21,11.25,DIKUAI_2024_0012
DIKUAI_2503,商业用地,临路型,1613.37,2.7878,4497.6911,0.6973,21,12,DIKUAI_2024_0013
DIKUAI_3082,居住用地,临路型,80281.5,1.5468,124180.9836,0.3168,21,10.903,DIKUAI_2024_0014
DIKUAI_3261,居住用地,临路型,11477.3,1.8997,21803.1574,0.2752,21,18,DIKUAI_2024_0015
DIKUAI_3092,居住用地,临路型,23928.7,0.9554,22860.5025,0.3358,30,7.7368,DIKUAI_2024_0016
DIKUAI_3345,公用设施用地,临路型,8563.13,1.7242,14764.1643,0.2243,60,40.9091,DIKUAI_2024_0017
DIKUAI_3097,居住用地,临路型,43959.7,1.4235,62575.3365,0.3427,24,9.7792,DIKUAI_2024_0018
DIKUAI_2567,商务用地,临路型,3983.91,2.6152,10418.9028,0.4119,21,15.6,DIKUAI_2024_0019
DIKUAI_3069,居住用地,临路型,18539.7,1.2432,23047.6503,0.3838,21,7.7143,DIKUAI_2024_0020
DIKUAI_2640,商住混合用地,临路型,2874.71,3.4073,9794.9985,0.4057,27,10.875,DIKUAI_2024_0021
DIKUAI_3061,居住用地,临路型,3315.44,0.4732,1568.9132,0.1733,36,10.6667,DIKUAI_2024_4010
DIKUAI_2374,教育科研用地,临路型,2602.14,1.0615,2762.122,0.2738,18,8.25,DIKUAI_2024_0024
DIKUAI_2381,教育科研用地,临路型,19143.3,0.0594,1137.9023,0.0099,18,18,DIKUAI_2024_0025
DIKUAI_3340,道路与交通设施用地,临路型,1841.21,0,0,0,0,0,DIKUAI_2024_0026
DIKUAI_2478,商业用地,临路型,5882.45,2.9025,17073.6102,0.5179,21,18,DIKUAI_2024_0027
DIKUAI_2369,教育科研用地,临路型,3573.2,3.1094,11110.4452,0.6634,21,7.5,DIKUAI_2024_0028
DIKUAI_3045,工业用地,临路型,22813.4,1.1923,27199.7064,0.2317,45,11.6,DIKUAI_2024_0029
DIKUAI_2495,商业用地,临路型,913.359,0.0768,70.1106,0.0051,45,45,DIKUAI_2024_0030
DIKUAI_3035,工业用地,临路型,3971.31,0.0766,304.3261,0.0733,6,4,DIKUAI_2024_0031
