要素ID,DITIEZHANDIAN_ID,地铁站点名称,几何类型,坐标系,长度（米）,最小经度,最大经度,最小纬度,最大纬度,经纬度坐标列表
0,DITIEZHANDIAN_2024_0,月牙湖,Point,EPSG:4326 (WGS84经纬度),无,118.816782,118.816782,32.033523,32.033523,"[(118.816782, 32.033523)]"
1,DITIEZHANDIAN_2024_1,解放路,Point,EPSG:4326 (WGS84经纬度),无,118.805192,118.805192,32.037204,32.037204,"[(118.805192, 32.037204)]"
2,DITIEZHANDIAN_2024_2,马标,Point,EPSG:4326 (WGS84经纬度),无,118.800484,118.800484,32.047839,32.047839,"[(118.800484, 32.047839)]"
3,DITIEZHANDIAN_2024_3,广州路,Point,EPSG:4326 (WGS84经纬度),无,118.76447,118.76447,32.051188,32.051188,"[(118.76447, 32.051188)]"
4,DITIEZHANDIAN_2024_4,福建路,Point,EPSG:4326 (WGS84经纬度),无,118.754466,118.754466,32.082146,32.082146,"[(118.754466, 32.082146)]"
5,DITIEZHANDIAN_2024_5,青春广场,Point,EPSG:4326 (WGS84经纬度),无,118.767747,118.767747,32.070629,32.070629,"[(118.767747, 32.070629)]"
6,DITIEZHANDIAN_2024_6,朝天宫,Point,EPSG:4326 (WGS84经纬度),无,118.76755,118.76755,32.034729,32.034729,"[(118.76755, 32.034729)]"
7,DITIEZHANDIAN_2024_7,夫子庙,Point,EPSG:4326 (WGS84经纬度),无,118.785939,118.785939,32.025594,32.025594,"[(118.785939, 32.025594)]"
8,DITIEZHANDIAN_2024_8,通济门,Point,EPSG:4326 (WGS84经纬度),无,118.799909,118.799909,32.027638,32.027638,"[(118.799909, 32.027638)]"
9,DITIEZHANDIAN_2024_9,光华门,Point,EPSG:4326 (WGS84经纬度),无,118.810761,118.810761,32.02539,32.02539,"[(118.810761, 32.02539)]"
10,DITIEZHANDIAN_2024_10,九华山,Point,EPSG:4326 (WGS84经纬度),无,118.800748,118.800748,32.059434,32.059434,"[(118.800748, 32.059434)]"
11,DITIEZHANDIAN_2024_11,常府街,Point,EPSG:4326 (WGS84经纬度),无,118.78719,118.78719,32.035758,32.035758,"[(118.78719, 32.035758)]"
12,DITIEZHANDIAN_2024_12,武定门,Point,EPSG:4326 (WGS84经纬度),无,118.789483,118.789483,32.015795,32.015795,"[(118.789483, 32.015795)]"
13,DITIEZHANDIAN_2024_13,新模范马路,Point,EPSG:4326 (WGS84经纬度),无,118.778624,118.778624,32.08195,32.08195,"[(118.778624, 32.08195)]"
14,DITIEZHANDIAN_2024_14,玄武门,Point,EPSG:4326 (WGS84经纬度),无,118.778959,118.778959,32.072151,32.072151,"[(118.778959, 32.072151)]"
15,DITIEZHANDIAN_2024_15,张府园,Point,EPSG:4326 (WGS84经纬度),无,118.778799,118.778799,32.033037,32.033037,"[(118.778799, 32.033037)]"
16,DITIEZHANDIAN_2024_16,三山街,Point,EPSG:4326 (WGS84经纬度),无,118.776502,118.776502,32.024911,32.024911,"[(118.776502, 32.024911)]"
17,DITIEZHANDIAN_2024_17,大行宫,Point,EPSG:4326 (WGS84经纬度),无,118.789556,118.789556,32.043069,32.043069,"[(118.789556, 32.043069)]"
18,DITIEZHANDIAN_2024_18,明故宫,Point,EPSG:4326 (WGS84经纬度),无,118.814296,118.814296,32.041296,32.041296,"[(118.814296, 32.041296)]"
19,DITIEZHANDIAN_2024_19,新街口,Point,EPSG:4326 (WGS84经纬度),无,118.778951,118.778951,32.042417,32.042417,"[(118.778951, 32.042417)]"
20,DITIEZHANDIAN_2024_20,珠江路,Point,EPSG:4326 (WGS84经纬度),无,118.779014,118.779014,32.05314,32.05314,"[(118.779014, 32.05314)]"
21,DITIEZHANDIAN_2024_21,鼓楼,Point,EPSG:4326 (WGS84经纬度),无,118.77861,118.77861,32.060695,32.060695,"[(118.77861, 32.060695)]"
22,DITIEZHANDIAN_2024_22,马标,Point,EPSG:4326 (WGS84经纬度),无,118.800484,118.800484,32.047839,32.047839,"[(118.800484, 32.047839)]"
23,DITIEZHANDIAN_2024_23,西安门,Point,EPSG:4326 (WGS84经纬度),无,118.800554,118.800554,32.042282,32.042282,"[(118.800554, 32.042282)]"
24,DITIEZHANDIAN_2024_24,上海路,Point,EPSG:4326 (WGS84经纬度),无,118.770838,118.770838,32.04425,32.04425,"[(118.770838, 32.04425)]"
25,DITIEZHANDIAN_2024_25,汉中门,Point,EPSG:4326 (WGS84经纬度),无,118.761814,118.761814,32.044764,32.044764,"[(118.761814, 32.044764)]"
26,DITIEZHANDIAN_2024_26,草场门·南,Point,EPSG:4326 (WGS84经纬度),无,118.750586,118.750586,32.062494,32.062494,"[(118.750586, 32.062494)]"
27,DITIEZHANDIAN_2024_27,古平岗,Point,EPSG:4326 (WGS84经纬度),无,118.75257,118.75257,32.073798,32.073798,"[(118.75257, 32.073798)]"
28,DITIEZHANDIAN_2024_28,浮桥·华海3C,Point,EPSG:4326 (WGS84经纬度),无,118.791163,118.791163,32.051442,32.051442,"[(118.791163, 32.051442)]"
29,DITIEZHANDIAN_2024_29,鸡鸣寺,Point,EPSG:4326 (WGS84经纬度),无,118.792694,118.792694,32.058708,32.058708,"[(118.792694, 32.058708)]"
30,DITIEZHANDIAN_2024_30,清凉山,Point,EPSG:4326 (WGS84经纬度),无,118.754138,118.754138,32.050421,32.050421,"[(118.754138, 32.050421)]"
31,DITIEZHANDIAN_2024_31,五台山,Point,EPSG:4326 (WGS84经纬度),无,118.770821,118.770821,32.052539,32.052539,"[(118.770821, 32.052539)]"
32,DITIEZHANDIAN_2024_32,云南路,Point,EPSG:4326 (WGS84经纬度),无,118.769457,118.769457,32.061305,32.061305,"[(118.769457, 32.061305)]"
33,DITIEZHANDIAN_2024_33,虹桥,Point,EPSG:4326 (WGS84经纬度),无,118.76052,118.76052,32.076884,32.076884,"[(118.76052, 32.076884)]"
34,DITIEZHANDIAN_2024_34,盐仓桥,Point,EPSG:4326 (WGS84经纬度),无,118.747155,118.747155,32.087939,32.087939,"[(118.747155, 32.087939)]"
35,DITIEZHANDIAN_2024_35,富贵山,Point,EPSG:4326 (WGS84经纬度),无,118.814333,118.814333,32.052913,32.052913,"[(118.814333, 32.052913)]"
