要素ID,DAOLU_ID,道路名称,几何类型,坐标系,长度（米）,最小经度,最大经度,最小纬度,最大纬度,经纬度坐标点列表
0,DAOLU_2022_0,鼓楼四条巷,LineString,EPSG:4326 (WGS84经纬度),610.99,118.770195,118.771601,32.06107,32.066437,"[(118.770195, 32.066437), (118.770484, 32.065403), (118.770851, 32.063737), (118.771053, 32.062983), (118.771239, 32.0623), (118.771499, 32.061206), (118.771601, 32.06107)]"
1,DAOLU_2022_1,仙霞路,LineString,EPSG:4326 (WGS84经纬度),434.5,118.759031,118.76357,32.058782,32.059236,"[(118.76357, 32.059236), (118.763023, 32.059118), (118.761596, 32.058909), (118.761124, 32.058782), (118.759823, 32.058817), (118.759031, 32.058834)]"
2,DAOLU_2022_2,四卫头,LineString,EPSG:4326 (WGS84经纬度),353.21,118.763476,118.763646,32.067796,32.070977,"[(118.763646, 32.067796), (118.763607, 32.069434), (118.763476, 32.070977)]"
3,DAOLU_2022_3,傅佐路,LineString,EPSG:4326 (WGS84经纬度),385.68,118.766726,118.767658,32.066285,32.069668,"[(118.767658, 32.066285), (118.76756, 32.066895), (118.766726, 32.069668)]"
4,DAOLU_2022_4,虎丘路,LineString,EPSG:4326 (WGS84经纬度),189.89,118.759901,118.761124,32.058782,32.059655,"[(118.761124, 32.058782), (118.761113, 32.059164), (118.760952, 32.059573), (118.759901, 32.059655)]"
5,DAOLU_2022_5,江苏路辅路,LineString,EPSG:4326 (WGS84经纬度),266.65,118.765406,118.765842,32.066182,32.068553,"[(118.765842, 32.066182), (118.765445, 32.067943), (118.765435, 32.068357), (118.765406, 32.068553)]"
6,DAOLU_2022_6,苏州路,LineString,EPSG:4326 (WGS84经纬度),240.54,118.76357,118.766093,32.058938,32.059236,"[(118.76357, 32.059236), (118.764686, 32.059082), (118.764997, 32.059048), (118.766093, 32.058938)]"
7,DAOLU_2022_7,大锏银巷,LineString,EPSG:4326 (WGS84经纬度),252.37,118.771427,118.774097,32.045676,32.045771,"[(118.774097, 32.045676), (118.772857, 32.045729), (118.771427, 32.045771)]"
8,DAOLU_2022_8,武夷路,LineString,EPSG:4326 (WGS84经纬度),399.33,118.761628,118.765809,32.059697,32.060127,"[(118.761628, 32.060055), (118.762036, 32.060091), (118.762862, 32.060127), (118.763355, 32.060082), (118.765809, 32.059697)]"
9,DAOLU_2022_9,大方巷,LineString,EPSG:4326 (WGS84经纬度),596.08,118.765539,118.77184,32.066164,32.066495,"[(118.77184, 32.066495), (118.770195, 32.066437), (118.768664, 32.066335), (118.767658, 32.066285), (118.765842, 32.066182), (118.765539, 32.066164)]"
10,DAOLU_2022_10,青云巷,LineString,EPSG:4326 (WGS84经纬度),213.82,118.775196,118.776137,32.065039,32.066793,"[(118.775196, 32.066793), (118.776137, 32.065039)]"
11,DAOLU_2022_11,傅厚岗,LineString,EPSG:4326 (WGS84经纬度),344.73,118.775196,118.778837,32.066774,32.066828,"[(118.778837, 32.066827), (118.77786, 32.066801), (118.777592, 32.066828), (118.776036, 32.066774), (118.775222, 32.066776), (118.775196, 32.066793)]"
12,DAOLU_2022_12,天目路 Tianmu Road,LineString,EPSG:4326 (WGS84经纬度),259.65,118.759141,118.761834,32.061165,32.061637,"[(118.759141, 32.061637), (118.761087, 32.061296), (118.761834, 32.061165)]"
13,DAOLU_2022_13,鼓楼街,LineString,EPSG:4326 (WGS84经纬度),325.95,118.775345,118.776446,32.061368,32.064143,"[(118.776446, 32.061368), (118.77628, 32.061767), (118.776252, 32.061835), (118.776004, 32.062446), (118.775543, 32.063869), (118.775345, 32.064143)]"
14,DAOLU_2022_14,人和街,LineString,EPSG:4326 (WGS84经纬度),474.99,118.762108,118.767007,32.070828,32.071286,"[(118.762108, 32.070828), (118.763476, 32.070977), (118.764572, 32.071022), (118.766721, 32.071041), (118.767007, 32.071286)]"
15,DAOLU_2022_15,鼓楼三条巷,LineString,EPSG:4326 (WGS84经纬度),466.55,118.77184,118.772618,32.062341,32.066495,"[(118.77184, 32.066495), (118.772273, 32.063846), (118.772618, 32.062341)]"
16,DAOLU_2022_16,合群新村,LineString,EPSG:4326 (WGS84经纬度),190.8,118.767518,118.769524,32.054816,32.054944,"[(118.767518, 32.054944), (118.76834, 32.054839), (118.768607, 32.054816), (118.76942, 32.054874), (118.769524, 32.054887)]"
17,DAOLU_2022_17,高云岭,LineString,EPSG:4326 (WGS84经纬度),498.55,118.776719,118.777592,32.066828,32.071262,"[(118.777592, 32.066828), (118.777248, 32.068454), (118.776959, 32.06982), (118.776819, 32.070618), (118.776719, 32.071262)]"
18,DAOLU_2022_18,南东瓜市,LineString,EPSG:4326 (WGS84经纬度),303.23,118.766201,118.768607,32.05396,32.054816,"[(118.766201, 32.054081), (118.767135, 32.054028), (118.768327, 32.05396), (118.768426, 32.054022), (118.768495, 32.054134), (118.768607, 32.054816)]"
19,DAOLU_2022_19,和会街,LineString,EPSG:4326 (WGS84经纬度),510.33,118.757291,118.76267,32.079784,32.080212,"[(118.757291, 32.079784), (118.75964, 32.079904), (118.76228, 32.080152), (118.76267, 32.080212)]"
20,DAOLU_2022_20,鼓楼五条巷,LineString,EPSG:4326 (WGS84经纬度),281.32,118.768664,118.769309,32.063889,32.066335,"[(118.769309, 32.063889), (118.769074, 32.06417), (118.768664, 32.066335)]"
21,DAOLU_2022_21,豆菜桥,LineString,EPSG:4326 (WGS84经纬度),920.18,118.772473,118.775195,32.044168,32.050154,"[(118.772473, 32.050154), (118.77263, 32.050151), (118.773707, 32.050131), (118.774726, 32.050015), (118.775126, 32.049964), (118.775185, 32.049918), (118.775195, 32.04985), (118.775134, 32.049594), (118.775093, 32.049472), (118.775067, 32.049294), (118.774953, 32.048519), (118.774786, 32.047884), (118.774737, 32.047698), (118.774585, 32.047073), (118.77448, 32.046643), (118.774177, 32.045801), (118.774097, 32.045676), (118.773465, 32.044168)]"
22,DAOLU_2022_22,校门口,LineString,EPSG:4326 (WGS84经纬度),369.5,118.753394,118.757291,32.079475,32.079784,"[(118.753394, 32.079475), (118.75703, 32.079772), (118.757291, 32.079784)]"
23,DAOLU_2022_23,沈举人巷,LineString,EPSG:4326 (WGS84经纬度),253.45,118.774177,118.776755,32.045165,32.045801,"[(118.776755, 32.045165), (118.776252, 32.045289), (118.775255, 32.04552), (118.774177, 32.045801)]"
24,DAOLU_2022_24,马家街,LineString,EPSG:4326 (WGS84经纬度),275.46,118.776045,118.776697,32.073567,32.075718,"[(118.776697, 32.073567), (118.776666, 32.073865), (118.77664, 32.07402), (118.776593, 32.074156), (118.776619, 32.07427), (118.776611, 32.074414), (118.776562, 32.074649), (118.776531, 32.074705), (118.776167, 32.074707), (118.776122, 32.075028), (118.776075, 32.075326), (118.776065, 32.075449), (118.776045, 32.075718)]"
25,DAOLU_2022_25,北东瓜市,LineString,EPSG:4326 (WGS84经纬度),212.53,118.766363,118.767674,32.054944,32.055729,"[(118.766363, 32.055701), (118.766751, 32.055673), (118.767674, 32.055729), (118.767576, 32.055382), (118.767518, 32.054944)]"
26,DAOLU_2022_26,石钟路,LineString,EPSG:4326 (WGS84经纬度),148.65,118.759823,118.759922,32.058817,32.060155,"[(118.759922, 32.060155), (118.759901, 32.059655), (118.759823, 32.058817)]"
27,DAOLU_2022_27,模范马路,LineString,EPSG:4326 (WGS84经纬度),398.95,118.76318,118.767405,32.080234,32.080303,"[(118.76318, 32.080234), (118.765452, 32.080287), (118.766858, 32.080299), (118.767405, 32.080303)]"
28,DAOLU_2022_28,云载巷,LineString,EPSG:4326 (WGS84经纬度),198.66,118.776137,118.777098,32.063446,32.065039,"[(118.776137, 32.065039), (118.777098, 32.063446)]"
29,DAOLU_2022_29,匡庐路,LineString,EPSG:4326 (WGS84经纬度),331.87,118.76357,118.765176,32.05679,32.059236,"[(118.76357, 32.059236), (118.764257, 32.058682), (118.765083, 32.057981), (118.765176, 32.05679)]"
30,DAOLU_2022_30,镇江路,LineString,EPSG:4326 (WGS84经纬度),349.94,118.749271,118.751293,32.07591,32.078555,"[(118.749271, 32.078555), (118.751293, 32.07591)]"
31,DAOLU_2022_31,文云巷,LineString,EPSG:4326 (WGS84经纬度),354.89,118.775235,118.778948,32.069678,32.070149,"[(118.775235, 32.069678), (118.776401, 32.069774), (118.776959, 32.06982), (118.778814, 32.070134), (118.778948, 32.070149)]"
32,DAOLU_2022_32,厚载巷,LineString,EPSG:4326 (WGS84经纬度),611.26,118.774966,118.781355,32.064674,32.065284,"[(118.774966, 32.065284), (118.776137, 32.065039), (118.776755, 32.06491), (118.778032, 32.06471), (118.77859, 32.064674), (118.778851, 32.064676), (118.779066, 32.064678), (118.779566, 32.064683), (118.780789, 32.064801), (118.781355, 32.064829)]"
33,DAOLU_2022_33,剑阁路,LineString,EPSG:4326 (WGS84经纬度),563.93,118.761124,118.766485,32.057663,32.058782,"[(118.761124, 32.058782), (118.761347, 32.058475), (118.761735, 32.058054), (118.762207, 32.057772), (118.762948, 32.057672), (118.763441, 32.057663), (118.763967, 32.05769), (118.764471, 32.057781), (118.765083, 32.057981), (118.766485, 32.05796)]"
34,DAOLU_2022_34,干河沿前街,LineString,EPSG:4326 (WGS84经纬度),525.94,118.774467,118.778866,32.050015,32.05147,"[(118.774726, 32.050015), (118.774467, 32.050923), (118.774753, 32.050971), (118.774813, 32.051016), (118.774919, 32.05107), (118.775178, 32.051108), (118.775564, 32.051158), (118.776009, 32.051226), (118.776551, 32.051271), (118.777396, 32.051344), (118.778047, 32.051411), (118.778866, 32.05147)]"
35,DAOLU_2022_35,鼓楼二条巷,LineString,EPSG:4326 (WGS84经纬度),518.61,118.773249,118.773649,32.061072,32.065685,"[(118.773424, 32.065685), (118.773249, 32.065255), (118.773649, 32.063718), (118.773577, 32.061253), (118.773548, 32.061072)]"
36,DAOLU_2022_36,山阴路,LineString,EPSG:4326 (WGS84经纬度),400.44,118.760681,118.76357,32.057024,32.059236,"[(118.76357, 32.059236), (118.763484, 32.058954), (118.763302, 32.058636), (118.76283, 32.058354), (118.762175, 32.058172), (118.761735, 32.058054), (118.761328, 32.057927), (118.76092, 32.057672), (118.760716, 32.057372), (118.760681, 32.057024)]"
37,DAOLU_2022_37,玉泉路,LineString,EPSG:4326 (WGS84经纬度),219.05,118.761628,118.762131,32.060055,32.061972,"[(118.762131, 32.061972), (118.761896, 32.0615), (118.761834, 32.061165), (118.761628, 32.060055)]"
38,DAOLU_2022_38,扬州路,LineString,EPSG:4326 (WGS84经纬度),445.93,118.759088,118.76357,32.059236,32.060155,"[(118.759088, 32.060069), (118.759922, 32.060155), (118.760705, 32.060136), (118.761628, 32.060055), (118.761844, 32.059946), (118.762443, 32.059645), (118.76357, 32.059236)]"
39,DAOLU_2022_39,萨家湾,LineString,EPSG:4326 (WGS84经纬度),668.77,118.748651,118.755204,32.084936,32.086108,"[(118.755204, 32.084962), (118.754912, 32.084938), (118.754656, 32.084936), (118.754446, 32.084956), (118.754287, 32.085024), (118.754163, 32.085097), (118.753483, 32.085584), (118.753167, 32.085776), (118.753099, 32.08581), (118.752998, 32.085848), (118.752505, 32.086033), (118.752358, 32.086074), (118.752164, 32.086108), (118.751955, 32.086098), (118.751771, 32.086063), (118.750336, 32.085743), (118.750149, 32.085691), (118.748651, 32.085324)]"
40,DAOLU_2022_40,青云巷,LineString,EPSG:4326 (WGS84经纬度),194.28,118.774314,118.775196,32.066793,32.068359,"[(118.774314, 32.068359), (118.774501, 32.068118), (118.774781, 32.067756), (118.775111, 32.067121), (118.775196, 32.066793)]"
41,DAOLU_2022_41,渊声巷,LineString,EPSG:4326 (WGS84经纬度),615.1,118.769309,118.775543,32.063664,32.063937,"[(118.769309, 32.063889), (118.769542, 32.063899), (118.76993, 32.063839), (118.770056, 32.063721), (118.770851, 32.063737), (118.77094, 32.063937), (118.771991, 32.063883), (118.772273, 32.063846), (118.773107, 32.063737), (118.773649, 32.063718), (118.773723, 32.063716), (118.774652, 32.063664), (118.775543, 32.063869)]"
42,DAOLU_2022_42,江西路,LineString,EPSG:4326 (WGS84经纬度),671.14,118.77664,118.777183,32.083338,32.089249,"[(118.776808, 32.089249), (118.776883, 32.088986), (118.776816, 32.088802), (118.776726, 32.088552), (118.77664, 32.088183), (118.77664, 32.087906), (118.776776, 32.087359), (118.776937, 32.087144), (118.777113, 32.086938), (118.777183, 32.086236), (118.77718, 32.085763), (118.777109, 32.085256), (118.777131, 32.084587), (118.777156, 32.083338)]"
43,DAOLU_2022_43,回龙桥,LineString,EPSG:4326 (WGS84经纬度),621.84,118.750519,118.753434,32.074691,32.079475,"[(118.753394, 32.079475), (118.753434, 32.078747), (118.753368, 32.07815), (118.75204, 32.077094), (118.751293, 32.07591), (118.750637, 32.074932), (118.750519, 32.074691)]"
44,DAOLU_2022_44,古平岗,LineString,EPSG:4326 (WGS84经纬度),307.68,118.748441,118.750519,32.072561,32.074691,"[(118.750519, 32.074691), (118.749605, 32.073611), (118.748441, 32.072561)]"
45,DAOLU_2022_45,江苏路,LineString,EPSG:4326 (WGS84经纬度),172.42,118.761713,118.762108,32.069351,32.070828,"[(118.76184, 32.069351), (118.761713, 32.070044), (118.762108, 32.070828)]"
46,DAOLU_2022_46,祁家桥,LineString,EPSG:4326 (WGS84经纬度),500.96,118.761101,118.762108,32.070828,32.075255,"[(118.762108, 32.070828), (118.761733, 32.072593), (118.761694, 32.073194), (118.761101, 32.075255)]"
47,DAOLU_2022_47,电工巷,LineString,EPSG:4326 (WGS84经纬度),234.7,118.759726,118.762174,32.07513,32.075474,"[(118.759726, 32.07513), (118.761101, 32.075255), (118.762174, 32.075474)]"
48,DAOLU_2022_48,北四卫头,LineString,EPSG:4326 (WGS84经纬度),477.71,118.761683,118.765565,32.073232,32.075164,"[(118.761683, 32.073232), (118.761988, 32.074044), (118.762284, 32.074505), (118.762756, 32.074809), (118.763044, 32.074892), (118.765225, 32.075164), (118.765565, 32.07514)]"
49,DAOLU_2022_49,电工巷,LineString,EPSG:4326 (WGS84经纬度),279.04,118.758673,118.761433,32.073236,32.0741,"[(118.758673, 32.073236), (118.759225, 32.073305), (118.761433, 32.0741)]"
50,DAOLU_2022_50,狮子桥步行街,LineString,EPSG:4326 (WGS84经纬度),322.78,118.772356,118.772978,32.068243,32.071105,"[(118.772978, 32.068243), (118.77277, 32.069198), (118.772442, 32.070759), (118.772356, 32.071105)]"
51,DAOLU_2022_51,丁家桥,LineString,EPSG:4326 (WGS84经纬度),979.18,118.771254,118.772364,32.071105,32.079442,"[(118.772356, 32.071105), (118.772047, 32.07284), (118.771807, 32.074546), (118.772342, 32.074856), (118.772364, 32.074948), (118.772364, 32.075151), (118.772363, 32.075314), (118.772168, 32.076833), (118.771869, 32.077135), (118.771826, 32.077199), (118.771809, 32.077235), (118.771676, 32.07791), (118.771668, 32.077951), (118.771443, 32.078133), (118.771419, 32.078175), (118.771254, 32.079442)]"
52,DAOLU_2022_52,童家巷,LineString,EPSG:4326 (WGS84经纬度),844.51,118.770363,118.77896,32.072124,32.073611,"[(118.770363, 32.072124), (118.770887, 32.072495), (118.771497, 32.072684), (118.772057, 32.072779), (118.773327, 32.073), (118.773894, 32.073148), (118.77429, 32.07336), (118.774607, 32.073392), (118.775959, 32.073463), (118.776666, 32.073566), (118.77896, 32.073611)]"
53,DAOLU_2022_53,马家街,LineString,EPSG:4326 (WGS84经纬度),386.23,118.774879,118.778966,32.075706,32.075814,"[(118.774879, 32.075706), (118.776045, 32.075718), (118.776539, 32.075737), (118.777484, 32.075756), (118.778306, 32.075814), (118.778966, 32.075808)]"
54,DAOLU_2022_54,芦席营,LineString,EPSG:4326 (WGS84经纬度),425.56,118.775444,118.776045,32.075718,32.07952,"[(118.776045, 32.075718), (118.775714, 32.078115), (118.775595, 32.078826), (118.775444, 32.07952)]"
55,DAOLU_2022_55,司背后,LineString,EPSG:4326 (WGS84经纬度),568.76,118.767396,118.768038,32.074389,32.079367,"[(118.767396, 32.079367), (118.767441, 32.078734), (118.767633, 32.077623), (118.767968, 32.075636), (118.768038, 32.075151), (118.767943, 32.074851), (118.76756, 32.074389)]"
56,DAOLU_2022_56,铁路南街,LineString,EPSG:4326 (WGS84经纬度),494.56,118.76438,118.767958,32.075693,32.078941,"[(118.76438, 32.078941), (118.764919, 32.0785), (118.765444, 32.078088), (118.765943, 32.077642), (118.766543, 32.077076), (118.767215, 32.076399), (118.767768, 32.075825), (118.767958, 32.075693)]"
57,DAOLU_2022_57,平安里,LineString,EPSG:4326 (WGS84经纬度),458.39,118.767958,118.771139,32.072573,32.075693,"[(118.767958, 32.075693), (118.76823, 32.075381), (118.769029, 32.074595), (118.770373, 32.073258), (118.771139, 32.072573)]"
58,DAOLU_2022_58,宁夏路,LineString,EPSG:4326 (WGS84经纬度),343.98,118.75636,118.759948,32.06767,32.068165,"[(118.759948, 32.068165), (118.759104, 32.067967), (118.758511, 32.067864), (118.75636, 32.06767)]"
59,DAOLU_2022_59,马鞍山路,LineString,EPSG:4326 (WGS84经纬度),488.43,118.751205,118.75636,32.067426,32.06767,"[(118.75636, 32.06767), (118.753516, 32.067426), (118.751205, 32.067543)]"
60,DAOLU_2022_60,二条巷,LineString,EPSG:4326 (WGS84经纬度),450.26,118.771239,118.776004,32.0623,32.062446,"[(118.771239, 32.0623), (118.772618, 32.062341), (118.776004, 32.062446)]"
61,DAOLU_2022_61,车站东巷,LineString,EPSG:4326 (WGS84经纬度),256.82,118.77651,118.778899,32.062963,32.063673,"[(118.77651, 32.062963), (118.776926, 32.063315), (118.777098, 32.063446), (118.777354, 32.063656), (118.77744, 32.063673), (118.778899, 32.063634)]"
62,DAOLU_2022_62,金银街,LineString,EPSG:4326 (WGS84经纬度),361.91,118.771601,118.771897,32.057891,32.06107,"[(118.771601, 32.06107), (118.771754, 32.060928), (118.771754, 32.060662), (118.771621, 32.059974), (118.771637, 32.059604), (118.771772, 32.05898), (118.771897, 32.058587), (118.771892, 32.058341), (118.771888, 32.057891)]"
63,DAOLU_2022_63,金银街,LineString,EPSG:4326 (WGS84经纬度),239.1,118.769101,118.771633,32.059688,32.059703,"[(118.771633, 32.059688), (118.76983, 32.059693), (118.769101, 32.059703)]"
64,DAOLU_2022_64,盔头巷,LineString,EPSG:4326 (WGS84经纬度),356.53,118.775134,118.778872,32.049144,32.049594,"[(118.775134, 32.049594), (118.778101, 32.049218), (118.778872, 32.049144)]"
65,DAOLU_2022_65,凤凰东街,LineString,EPSG:4326 (WGS84经纬度),512.77,118.750418,118.755018,32.045951,32.048402,"[(118.755018, 32.045951), (118.752307, 32.047328), (118.751733, 32.047669), (118.751338, 32.047878), (118.75101, 32.048043), (118.750595, 32.048303), (118.750418, 32.048402)]"
66,DAOLU_2022_66,内环北线,LineString,EPSG:4326 (WGS84经纬度),4368.09,118.740035,118.782424,32.068566,32.079778,"[(118.740035, 32.068566), (118.742586, 32.070196), (118.746247, 32.071432), (118.748441, 32.072561), (118.75216, 32.073211), (118.756337, 32.073402), (118.758708, 32.074344), (118.759618, 32.075035), (118.760503, 32.075819), (118.761555, 32.076715), (118.762375, 32.07735), (118.763125, 32.078006), (118.763676, 32.078495), (118.764456, 32.078989), (118.764821, 32.079121), (118.765239, 32.079249), (118.76571, 32.079317), (118.766152, 32.079365), (118.767396, 32.079367), (118.767476, 32.079367), (118.782424, 32.079778)]"
67,DAOLU_2022_67,管家桥,LineString,EPSG:4326 (WGS84经纬度),489.24,118.776257,118.777804,32.043981,32.048163,"[(118.777804, 32.048163), (118.77768, 32.047236), (118.777367, 32.046257), (118.777209, 32.045937), (118.776815, 32.045161), (118.776257, 32.043981)]"
